Month,lululemon: (Worldwide)
2004-01,2
2004-02,2
2004-03,2
2004-04,1
2004-05,1
2004-06,1
2004-07,2
2004-08,1
2004-09,2
2004-10,2
2004-11,2
2004-12,3
2005-01,2
2005-02,3
2005-03,3
2005-04,3
2005-05,2
2005-06,2
2005-07,3
2005-08,3
2005-09,3
2005-10,3
2005-11,4
2005-12,5
2006-01,4
2006-02,4
2006-03,4
2006-04,3
2006-05,3
2006-06,4
2006-07,3
2006-08,4
2006-09,4
2006-10,4
2006-11,5
2006-12,6
2007-01,6
2007-02,5
2007-03,5
2007-04,5
2007-05,5
2007-06,5
2007-07,6
2007-08,6
2007-09,6
2007-10,6
2007-11,9
2007-12,9
2008-01,8
2008-02,6
2008-03,6
2008-04,6
2008-05,6
2008-06,5
2008-07,5
2008-08,6
2008-09,6
2008-10,6
2008-11,6
2008-12,8
2009-01,6
2009-02,6
2009-03,6
2009-04,7
2009-05,6
2009-06,7
2009-07,8
2009-08,7
2009-09,7
2009-10,8
2009-11,10
2009-12,13
2010-01,11
2010-02,10
2010-03,11
2010-04,10
2010-05,9
2010-06,9
2010-07,11
2010-08,11
2010-09,12
2010-10,12
2010-11,14
2010-12,20
2011-01,15
2011-02,14
2011-03,20
2011-04,16
2011-05,13
2011-06,13
2011-07,14
2011-08,15
2011-09,15
2011-10,17
2011-11,22
2011-12,26
2012-01,27
2012-02,24
2012-03,23
2012-04,23
2012-05,21
2012-06,22
2012-07,22
2012-08,25
2012-09,25
2012-10,25
2012-11,30
2012-12,35
2013-01,31
2013-02,28
2013-03,41
2013-04,31
2013-05,28
2013-06,30
2013-07,26
2013-08,28
2013-09,28
2013-10,27
2013-11,34
2013-12,40
2014-01,30
2014-02,28
2014-03,28
2014-04,28
2014-05,25
2014-06,24
2014-07,25
2014-08,25
2014-09,25
2014-10,25
2014-11,30
2014-12,36
2015-01,27
2015-02,26
2015-03,26
2015-04,24
2015-05,22
2015-06,23
2015-07,25
2015-08,25
2015-09,25
2015-10,25
2015-11,32
2015-12,38
2016-01,28
2016-02,24
2016-03,25
2016-04,24
2016-05,24
2016-06,25
2016-07,25
2016-08,26
2016-09,25
2016-10,24
2016-11,34
2016-12,39
2017-01,29
2017-02,25
2017-03,26
2017-04,24
2017-05,24
2017-06,24
2017-07,26
2017-08,25
2017-09,25
2017-10,27
2017-11,39
2017-12,39
2018-01,32
2018-02,29
2018-03,28
2018-04,27
2018-05,26
2018-06,25
2018-07,25
2018-08,26
2018-09,26
2018-10,27
2018-11,42
2018-12,45
2019-01,32
2019-02,29
2019-03,31
2019-04,33
2019-05,30
2019-06,30
2019-07,31
2019-08,34
2019-09,34
2019-10,35
2019-11,51
2019-12,63
2020-01,45
2020-02,36
2020-03,36
2020-04,48
2020-05,54
2020-06,44
2020-07,47
2020-08,38
2020-09,38
2020-10,33
2020-11,51
2020-12,54
2021-01,39
2021-02,32
2021-03,32
2021-04,34
2021-05,35
2021-06,36
2021-07,40
2021-08,38
2021-09,38
2021-10,42
2021-11,65
2021-12,66
2022-01,52
2022-02,47
2022-03,46
2022-04,47
2022-05,49
2022-06,55
2022-07,59
2022-08,60
2022-09,54
2022-10,54
2022-11,84
2022-12,83
2023-01,67
2023-02,58
2023-03,57
2023-04,59
2023-05,58
2023-06,62
2023-07,62
2023-08,64
2023-09,59
2023-10,62
2023-11,100
2023-12,95
2024-01,73
2024-02,66
2024-03,64
2024-04,65
2024-05,66
